## blacklist
cyberframe,wyerframez
blackjr,balak
akifn,akino
spaga,plaga
spaga,spaca
re_mmd,arne_mmd
midnightsfm,midnightswamie
anaru,kanauru
d-art,act
vianimations,3dimmanimations

## whitelist
icedev,1cedev
wanksy,wansky
shirakami_san,shirakami
noramo64,noramo
scarecraw,scarecraw_
玲萌ファンクラブ,reimo
suhee,suhe
kirameku_hoshi,kiramekuhoshi
re_mmd,玲萌ファンクラブ
maiden-masher,maiden_masher
kamuo,taihai
kokoboro,kokoborohen
magmallow,mag_mallow
shiina_ecchigawa,shiina_ecchi
re_mmd,reimo
batesz,batesz2
thehoaxxx,hoaxxx
shinki_art,shinki
amateurthrowaway,amateur_throwaway
bonkdoge_3d,bonkge_3d
yves_bigerel,balak
